# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  1161724890ec  9c6a2e188b79  ploop: Care about timeout on process_merge_latest_snapshot_cmd()
match  b9cbe1a21bfe  166a64152f3b  ploop: Care about timeout on process_update_delta_index()
match  90be2a37738e  f48300898e70  ploop: Check for all delayed bio lists on destroy
match  8a1867adb13f  dad75e33369a  ploop: Check for activity being out of bio lists on destruction
match  7ae8962ff0f7  ca2a67355d2e  ploop: kmap_atomic() is overkill
drop                 76cc755bfa32  ms/mm/vmscan: remove unused lru_pages argument
drop                 7cb6662b76ea  ms/mm/workingset: remove unused @mapping argument in workingset_eviction()
drop                 0e58ecc2fafc  ms/mm: vmscan: simplify lruvec_lru_size()
drop                 69b2c7fa7e16  ms/mm: vmscan: move inactive_list_is_low() swap check to the caller
drop                 4563fb7ebf8d  ms/mm: vmscan: naming fixes: global_reclaim() and sane_reclaim()
drop                 88e0f73593cf  ms/mm: vmscan: replace shrink_node() loop with a retry jump
drop                 bf5ce66cff0d  ms/mm: vmscan: turn shrink_node_memcg() into shrink_lruvec()
drop                 e81943fe4120  ms/mm: vmscan: split shrink_node() into node part and memcgs part
drop                 129473b05980  ms/mm: vmscan: harmonize writeback congestion tracking for nodes & memcgs
